Date,Open,High,Low,Close,Volume,Turnover,P/E,P/B,Div Yield,MA50,MA200
2018-11-30,11098.35,11130.0,11045.85,11092.25,802093420.0,264270900000.0,27.63,3.49,1.19,10825.829999999998,11057.924749999998
2018-12-03,11146.8,11154.2,11065.55,11103.2,608638414.0,223230600000.0,27.66,3.49,1.19,10814.764,11056.317749999998
2018-12-04,11097.5,11112.65,11054.65,11086.4,487797881.0,194970300000.0,27.61,3.49,1.19,10805.569000000001,11054.782
2018-12-05,11036.1,11037.25,10953.75,10989.15,501908799.0,189286700000.0,27.37,3.46,1.2,10795.354999999998,11052.802
2018-12-06,10922.6,10924.35,10793.7,10805.85,507910485.0,202869800000.0,26.91,3.4,1.22,10783.721000000001,11051.275249999999
2018-12-07,10849.1,10903.45,10804.25,10894.1,494143024.0,217854800000.0,27.13,3.43,1.21,10777.892,11050.626499999998
2018-12-10,10706.7,10752.1,10674.15,10686.25,538063639.0,194407400000.00003,26.62,3.36,1.23,10765.865,11049.7995
2018-12-11,10546.4,10782.25,10532.65,10761.75,616413785.0,237750500000.0,26.8,3.39,1.22,10755.51,11049.384750000001
2018-12-12,10805.45,10974.55,10778.15,10960.45,529062342.0,210846300000.0,27.3,3.45,1.2,10750.985,11049.39225
2018-12-13,11031.75,11071.45,10979.4,11023.05,546794697.0,217296900000.0,27.45,3.47,1.19,10748.918,11050.277
2018-12-14,11018.15,11055.3,10986.8,11040.3,534769907.0,187853100000.0,27.5,3.47,1.19,10745.782999999998,11050.75275
2018-12-17,11087.2,11136.75,11077.4,11125.75,435539848.0,158144400000.0,27.71,3.5,1.18,10747.382,11051.84075
2018-12-18,11089.65,11160.25,11061.05,11150.9,430329852.0,168300099999.99997,27.77,3.51,1.18,10754.514,11052.935
2018-12-19,11177.95,11239.65,11176.35,11223.4,506408963.0,223779500000.0,27.95,3.53,1.17,10768.780999999999,11054.895250000001
2018-12-20,11144.05,11212.1,11135.75,11201.35,476918002.0,186278700000.0,27.9,3.53,1.17,10782.332,11057.16025
2018-12-21,11198.65,11220.0,10991.5,11005.85,602699200.0,236047700000.0,27.41,3.46,1.19,10792.977999999997,11058.4895
2018-12-24,11028.8,11030.6,10891.15,10904.7,377594512.0,141240800000.0,27.16,3.43,1.21,10797.916000000001,11059.1855
2018-12-26,10875.1,10988.15,10766.5,10968.85,434838223.0,166869400000.0,27.32,3.45,1.2,10808.652,11060.343
2018-12-27,11055.5,11068.75,11003.5,11015.8,686265362.0,234703900000.0,27.44,3.47,1.19,10815.542000000001,11061.132749999999
2018-12-28,11056.6,11134.2,11053.35,11101.65,380419086.0,157822900000.0,27.57,3.49,1.2,10823.322999999999,11061.872
2018-12-31,11154.1,11167.4,11100.35,11110.15,307709495.0,133714200000.0,27.59,3.45,1.19,10829.604,11062.809000000001
2019-01-01,11130.55,11161.0,11051.5,11148.8,261689768.0,110555400000.00002,27.69,3.46,1.19,10839.606000000002,11064.246000000001
2019-01-02,11110.15,11139.45,10977.65,11032.0,479573539.0,187859800000.0,27.4,3.42,1.2,10850.165,11065.306
2019-01-03,11035.7,11059.55,10904.85,10914.8,463008349.0,184063600000.0,27.11,3.39,1.21,10859.544,11066.306999999999
2019-01-04,10940.9,10981.45,10869.45,10966.15,463083403.0,178400700000.0,27.23,3.4,1.21,10872.035999999998,11068.12225
2019-01-07,11044.05,11070.2,10983.55,11005.1,408861633.0,156289400000.0,27.33,3.42,1.2,10883.829999999998,11070.640749999999
2019-01-08,11018.9,11047.45,10967.85,11031.3,411383722.0,166150099999.99997,27.4,3.42,1.2,10898.302,11072.90725
2019-01-09,11089.45,11098.35,10973.1,11078.0,485649256.0,194773400000.0,27.51,3.44,1.19,10915.356000000002,11074.559000000001
2019-01-10,11083.65,11087.65,11032.05,11054.45,394891069.0,153939400000.0,27.45,3.43,1.2,10927.389,11075.970999999998
2019-01-11,11067.15,11081.85,10970.75,11025.85,372755460.0,158764200000.0,27.38,3.42,1.2,10939.634000000002,11077.300249999998
2019-01-14,11033.65,11034.45,10918.35,10965.05,413114985.0,158226200000.0,27.17,3.4,1.21,10946.843,11078.545250000001
2019-01-15,11005.05,11117.45,11005.05,11107.75,415959403.0,177667700000.0,27.53,3.45,1.19,10956.845999999998,11081.303
2019-01-16,11120.65,11151.25,11097.4,11111.65,382299958.0,157993400000.0,27.53,3.45,1.19,10963.433,11084.641000000001
2019-01-17,11141.45,11151.7,11066.7,11123.9,392333417.0,160477200000.0,27.55,3.45,1.19,10970.691,11087.869750000002
2019-01-18,11135.25,11146.45,11066.85,11109.5,455935490.0,193916700000.0,27.5,3.45,1.19,10977.712,11091.06525
2019-01-21,11122.1,11188.5,11090.65,11153.35,426708208.0,200471500000.0,27.58,3.46,1.19,10984.202,11095.044000000002
2019-01-22,11142.75,11142.75,11057.6,11124.35,460402016.0,212512600000.0,27.84,3.45,1.19,10990.223,11098.178
2019-01-23,11133.25,11145.1,11015.75,11034.8,431966710.0,184297100000.0,27.62,3.42,1.2,10996.618,11100.569
2019-01-24,11047.85,11064.25,11000.5,11049.05,521455279.0,195624700000.0,27.62,3.43,1.2,11001.452999999998,11103.422249999998
2019-01-25,11062.55,11128.7,10941.85,10968.3,629065512.0,247201600000.0,27.41,3.4,1.21,11004.756000000001,11105.64575
2019-01-28,10978.9,10985.35,10803.25,10836.65,583915207.0,248606200000.0,27.08,3.36,1.22,11004.597,11106.19775
2019-01-29,10826.4,10868.0,10763.15,10829.95,518523830.0,222572900000.0,27.07,3.36,1.22,11003.032,11106.595750000002
2019-01-30,10879.45,10886.9,10788.25,10829.5,567122863.0,246777900000.0,27.07,3.36,1.22,10999.858999999999,11106.691
2019-01-31,10869.25,11002.5,10853.9,10996.8,836962479.0,323888300000.0,27.46,3.41,1.2,11002.295,11107.54425
2019-02-01,11018.7,11157.65,10981.15,11066.7,706450230.0,278977400000.0,27.62,3.43,1.2,11006.903,11108.576000000001
2019-02-04,11051.05,11084.75,10975.0,11070.45,455398569.0,184300400000.0,28.17,3.44,1.2,11013.084,11109.5315
2019-02-05,11067.0,11104.55,11044.6,11079.65,443600813.0,166629000000.0,28.2,3.44,1.19,11017.54,11110.285
2019-02-06,11111.75,11217.6,11108.7,11206.0,453221508.0,187308000000.0,28.51,3.48,1.18,11023.542999999998,11111.564749999998
2019-02-07,11215.3,11272.2,11198.75,11229.05,477554001.0,179023500000.0,28.57,3.48,1.18,11029.319,11112.83625
2019-02-08,11184.25,11199.2,11076.15,11094.1,546054674.0,190358000000.0,28.23,3.44,1.19,11029.883,11113.4725
2019-02-11,11080.05,11080.05,10996.3,11030.0,456225793.0,175207800000.0,28.06,3.42,1.2,11028.638,11113.656
2019-02-12,11022.9,11054.0,10963.1,10971.4,458531134.0,173957100000.0,27.93,3.4,1.21,11026.002,11113.40125
2019-02-13,11009.5,11028.85,10903.6,10923.9,474591263.0,187898800000.0,27.8,3.39,1.21,11022.752,11113.118
2019-02-14,10914.1,10922.55,10856.9,10888.4,822641878.0,241588100000.0,27.8,3.38,1.22,11020.737000000001,11112.46625
2019-02-15,10917.0,10921.65,10743.75,10845.85,713620118.0,244606500000.0,27.69,3.37,1.22,11021.537,11111.220500000001
2019-02-18,10857.9,10876.35,10749.75,10761.2,476725198.0,180204300000.0,27.47,3.34,1.23,11018.878999999999,11109.297000000002
2019-02-19,10758.3,10846.15,10713.3,10731.1,466195624.0,171193700000.0,27.39,3.33,1.23,11019.775999999998,11107.422999999999
2019-02-20,10781.45,10882.3,10778.3,10865.1,460390179.0,166858500000.0,27.71,3.37,1.22,11021.843,11106.493
2019-02-21,10875.3,10940.8,10853.45,10925.05,438886110.0,177406699999.99997,27.54,3.39,1.21,11021.135,11106.185750000002
2019-02-22,10920.45,10946.15,10901.05,10937.35,568898054.0,275223600000.0,27.57,3.44,1.21,11019.420999999998,11105.44725
2019-02-25,10960.85,11029.05,10934.6,11021.75,609844710.0,203885400000.0,27.78,3.46,1.2,11019.05,11105.145
2019-02-26,10917.85,11036.15,10866.2,10981.55,612226029.0,232632800000.0,27.69,3.45,1.21,11016.166000000001,11104.577750000002
2019-02-27,11027.6,11097.5,10903.65,10961.8,575902937.0,224635800000.00003,27.64,3.44,1.21,11012.384000000002,11104.12425
2019-02-28,11019.6,11019.9,10948.35,10959.9,953836362.0,322342700000.0,27.63,3.44,1.21,11007.114,11103.264
2019-03-01,11009.7,11053.2,10998.0,11040.55,569551987.0,196935700000.0,27.84,3.47,1.2,11003.898000000001,11102.84625
2019-03-05,11043.95,11185.1,11001.0,11177.2,618761765.0,225089300000.0,28.32,3.51,1.18,11007.325,11103.16375
2019-03-06,11218.4,11257.0,11197.35,11246.2,625197484.0,225384800000.0,28.49,3.53,1.18,11014.155,11104.10125
2019-03-07,11270.55,11278.4,11219.55,11244.05,574079883.0,192718900000.0,28.49,3.53,1.18,11019.659,11105.287
2019-03-08,11225.35,11236.0,11194.05,11225.0,520217347.0,178950600000.0,28.45,3.53,1.18,11023.842999999999,11106.871749999998
2019-03-11,11260.65,11387.35,11251.75,11375.7,567377087.0,216975700000.0,28.83,3.57,1.16,11029.324,11109.67725
2019-03-12,11441.0,11521.85,11436.7,11499.95,638431960.0,265505000000.0,29.14,3.61,1.15,11037.12,11112.913
2019-03-13,11525.35,11540.55,11472.9,11527.2,629811249.0,263158100000.0,29.21,3.62,1.15,11044.688,11116.79625
2019-03-14,11566.3,11569.0,11494.9,11522.9,469371485.0,199649800000.0,29.2,3.62,1.15,11054.506,11120.2745
2019-03-15,11554.85,11653.05,11550.6,11595.05,700551590.0,302664700000.0,29.38,3.64,1.14,11068.111,11123.57975
2019-03-18,11641.25,11693.9,11580.95,11629.75,510981209.0,206814000000.0,29.47,3.65,1.14,11081.383,11126.560749999999
2019-03-19,11668.55,11706.55,11621.15,11696.5,520328904.0,198910300000.0,29.64,3.67,1.13,11095.211000000001,11130.126750000001
2019-03-20,11717.7,11719.6,11663.7,11681.3,692998518.0,228977700000.0,29.6,3.67,1.13,11108.211000000001,11133.72525
2019-03-22,11706.4,11733.2,11592.95,11613.55,613637002.0,244043600000.0,29.43,3.65,1.14,11118.921999999999,11136.47225
2019-03-25,11551.15,11551.15,11464.75,11504.75,496171258.0,177323700000.0,29.16,3.61,1.15,11127.928,11138.92675
